,date,event_count,event_text
0,2017-1-7,1,12:55 pm Nabucco
1,2017-1-13,1,7:30 pm Kathleen Madigan
2,2017-1-15,1,7 pm National Theatre Live in HD Presents: No Man’s Land
3,2017-1-20,1,Restaurant Week
4,2017-1-21,2,Restaurant Week/12:55 pm Met Live in HD: Roméo et Juliette
5,2017-1-22,1,Restaurant Week
6,2017-1-23,1,Restaurant Week
7,2017-1-24,1,Restaurant Week
8,2017-1-25,1,Restaurant Week
9,2017-1-26,3,Restaurant Week/Movie Premiere: Jackie/6:30 pm UVA Office For Diversity & Equity Presents: Anita Hill
10,2017-1-27,1,Restaurant Week
11,2017-1-28,2,Restaurant Week/8 pm Vocalosity
12,2017-1-29,1,Restaurant Week
13,2017-2-2,1,7 pm Amadeus
14,2017-2-4,1,8:30 pm The Big Lebowski
15,2017-2-9,1,Movie Premiere: John Wick: Chapter 2
16,2017-2-10,3,Movie Premiere: Fifty Shades Darker/Movie Premiere: The Lego Batman Movie/5:30–8:30pm Valentine’s Date Night Kids Drop-Off
17,2017-2-11,2,11–10pm Coat Drive benefitting On Our Own Charlottesville/7:30 pm Scarface
18,2017-2-16,1,8–8pm Piedmont Landscape Association Seminar
19,2017-2-17,1,8 pm Matt Lewis – Long Live the King
20,2017-2-18,1,10–3pm Kid*Vention
21,2017-2-19,1,2 pm Amélie
22,2017-2-21,1,8:30 pm Big Gigantic
23,2017-2-22,1,8 pm Decades Rewind
24,2017-2-23,1,"8 pm Lewis Black – The Rant, White & Blue Tour"
25,2017-2-25,1,12:55 pm Rusalka
26,2017-2-26,2,7:30 pm Momix – Opus Cactus/8–11pm Foosball Tournament
27,2017-3-2,1,Quadruplicity Women’s Conference
28,2017-3-5,1,11:30 am Toy Story
29,2017-3-9,1,8 pm Rosanne Cash
30,2017-3-12,1,6 pm BANFF Mountain Film Festival
31,2017-3-13,1,7 pm BANFF Mountain Film Festival
32,2017-3-15,1,8 pm Amos Lee
33,2017-3-17,1,8:30 pm Eli Young Band
34,2017-3-18,1,12–3pm Soupapalooza!
35,2017-3-19,1,11 am Yoga & Mimosas
36,2017-3-22,1,Festival of the Book
37,2017-3-23,1,Festival of the Book
38,2017-3-24,1,Festival of the Book
39,2017-3-25,2,Festival of the Book/12:55 pm Idomeneo
40,2017-3-26,2,Festival of the Book/2 pm Dr. Seuss’ The Cat in the Hat
41,2017-4-2,1,2 pm Lawrence of Arabia
42,2017-4-8,1,10–12:30pm BowWOWwalk
43,2017-4-10,1,TOM TOM FOUNDERS FESTIVAL
44,2017-4-11,1,TOM TOM FOUNDERS FESTIVAL
45,2017-4-12,1,TOM TOM FOUNDERS FESTIVAL
46,2017-4-13,1,TOM TOM FOUNDERS FESTIVAL
47,2017-4-14,1,TOM TOM FOUNDERS FESTIVAL
48,2017-4-15,2,TOM TOM FOUNDERS FESTIVAL/8 pm Eric Owens
49,2017-4-16,1,TOM TOM FOUNDERS FESTIVAL
50,2017-4-20,1,7 pm Ween
51,2017-5-6,1,4 pm Jack Hanna’s Into the Wild Live
52,2017-5-11,1,7 pm Ron White
53,2017-5-12,1,8 pm Kris Kristofferson
54,2017-5-13,1,10–4pm The Festival of Cultures
55,2017-9-16,1,PRIDE Festival
56,2017-9-22,1,Charlottesville Downtown Street Fair & Sidewalk Sale
57,2017-9-23,1,Charlottesville Downtown Street Fair & Sidewalk Sale
58,2017-12-1,1,5:30–8:30pm Grand Illumination!
59,2017-12-2,1,Holiday Market
60,2017-12-3,1,11–1pm The Great Charlottesville Santa Fun Run & Walk
61,2017-12-9,3,Holiday Market/Holiday Open House and Street Fair/10–12pm Wells Fargo Holiday Heritage Parade
62,2017-12-14,1,6–8pm Gingerbread Express
63,2017-12-15,1,6–8pm Gingerbread Express
64,2017-12-16,2,Holiday Market/6–8pm Gingerbread Express
65,2017-12-21,1,6–8pm Gingerbread Express
66,2017-12-22,1,6–8pm Gingerbread Express
67,2017-12-23,2,Holiday Market/6–8pm Gingerbread Express
